tree_number	ui	name
B03.370.250.400	D005675	Fusobacterium necrophorum
B03.370.250.500	D016967	Fusobacterium nucleatum
B03.370.437	D045183	Leptotrichia
B03.370.600	D045184	Propionigenium
B03.370.700	D013288	Streptobacillus
B03.440	D006090	Gram-Negative Bacteria
B03.440.025	D000086142	Aquifex
B03.440.050	D020640	Arcobacter
B03.440.080	D041963	Bacteroidetes
B03.440.080.094	D001438	Bacteroidaceae
B03.440.080.094.152	D001439	Bacteroides
B03.440.080.094.152.400	D001441	Bacteroides fragilis
B03.440.080.094.152.700	D000070077	Bacteroides thetaiotaomicron
B03.440.080.094.389	D000086222	Mediterranea
B03.440.080.094.625	D017861	Porphyromonas
B03.440.080.094.625.350	D045202	Porphyromonas endodontalis
B03.440.080.094.625.515	D016966	Porphyromonas gingivalis
B03.440.080.094.640	D018720	Prevotella
B03.440.080.094.640.375	D018713	Prevotella intermedia
B03.440.080.094.640.500	D001443	Prevotella melaninogenica
B03.440.080.094.640.550	D045242	Prevotella nigrescens
B03.440.080.094.640.700	D045243	Prevotella ruminicola
B03.440.080.130	D041964	Cytophagaceae
B03.440.080.130.150	D003589	Cytophaga
B03.440.080.130.200	D045248	Flexibacter
B03.440.080.190	D041965	Flavobacteriaceae
B03.440.080.190.100	D002206	Capnocytophaga
B03.440.080.190.120	D045247	Chryseobacterium
B03.440.080.190.250	D005417	Flavobacterium
B03.440.080.190.600	D045246	Ornithobacterium
B03.440.080.190.700	D060494	Riemerella
B03.440.080.190.800	D060493	Tenacibaculum
B03.440.080.600	D060485	Pedobacter
B03.440.080.750	D045245	Rhodothermus
B03.440.080.800	D045249	Sphingobacterium
B03.440.080.850	D000084422	Tannerella
B03.440.080.850.500	D000070436	Tannerella forsythia
B03.440.090	D001475	Bartonellaceae
B03.440.090.100	D001473	Bartonella
B03.440.090.100.080	D045503	Bartonella bacilliformis
B03.440.090.100.350	D018416	Bartonella henselae
B03.440.090.100.650	D018413	Bartonella quintana
B03.440.097	D017400	Brachyspira
B03.440.097.100	D017401	Brachyspira hyodysenteriae
B03.440.100	D020635	Buchnera
B03.440.180	D002167	Campylobacter
B03.440.180.200	D017000	Campylobacter coli
B03.440.180.325	D002168	Campylobacter fetus
B03.440.180.375	D044862	Campylobacter hyointestinalis
B03.440.180.425	D016123	Campylobacter jejuni
B03.440.180.500	D044863	Campylobacter lari
B03.440.180.650	D044883	Campylobacter rectus
B03.440.180.700	D044884	Campylobacter sputorum
B03.440.180.800	D044885	Campylobacter upsaliensis
B03.440.190	D002695	Chlamydiales
B03.440.190.190	D002693	Chlamydiaceae
B03.440.190.190.190	D002689	Chlamydia
B03.440.190.190.190.500	D023502	Chlamydia muridarum
B03.440.190.190.190.750	D002692	Chlamydia trachomatis
B03.440.190.190.230	D023501	Chlamydophila
B03.440.190.190.230.249	D016993	Chlamydophila pneumoniae
B03.440.190.190.230.500	D002691	Chlamydophila psittaci
B03.440.305	D061306	Fibrobacteres
B03.440.305.500	D045848	Fibrobacter
B03.440.400	D006088	Gram-Negative Aerobic Bacteria
B03.440.400.280	D016934	Caulobacter
B03.440.400.280.280	D016935	Caulobacter crescentus
B03.440.400.400	D043372	Gallionellaceae
B03.440.400.425	D016946	Gram-Negative Aerobic Rods and Cocci
B03.440.400.425.100	D016947	Acetobacteraceae
B03.440.400.425.100.100	D000091	Acetobacter
B03.440.400.425.100.110	D041801	Acidiphilium
B03.440.400.425.100.550	D020576	Gluconobacter
B03.440.400.425.100.550.550	D020600	Gluconobacter oxydans
B03.440.400.425.103	D042763	Acidithiobacillus
B03.440.400.425.103.800	D013856	Acidithiobacillus thiooxidans
B03.440.400.425.115	D042401	Alcaligenaceae
B03.440.400.425.115.030	D042402	Achromobacter
B03.440.400.425.115.030.100	D042422	Achromobacter cycloclastes
B03.440.400.425.115.030.120	D042441	Achromobacter denitrificans
B03.440.400.425.115.050	D000421	Alcaligenes
B03.440.400.425.115.050.200	D042481	Alcaligenes faecalis
B03.440.400.425.115.425	D001884	Bordetella
B03.440.400.425.115.425.024	D042482	Bordetella avium
B03.440.400.425.115.425.050	D016950	Bordetella bronchiseptica
B03.440.400.425.115.425.590	D042483	Bordetella parapertussis
B03.440.400.425.115.425.600	D001886	Bordetella pertussis
B03.440.400.425.115.800	D042502	Taylorella
B03.440.400.425.115.800.200	D020625	Taylorella equigenitalis
B03.440.400.425.126	D020591	Alteromonas
B03.440.400.425.127	D020583	Azorhizobium
B03.440.400.425.127.100	D020599	Azorhizobium caulinodans
B03.440.400.425.180	D001501	Bdellovibrio
B03.440.400.425.180.500	D000070060	Bdellovibrio bacteriovorus
B03.440.400.425.200	D041841	Bradyrhizobiaceae
B03.440.400.425.200.040	D020622	Afipia
B03.440.400.425.200.090	D020369	Bradyrhizobium
B03.440.400.425.200.520	D009576	Nitrobacter
B03.440.400.425.200.700	D012241	Rhodopseudomonas
B03.440.400.425.215	D042021	Brucellaceae
B03.440.400.425.215.500	D002002	Brucella
B03.440.400.425.215.500.100	D002003	Brucella abortus
B03.440.400.425.215.500.150	D041002	Brucella canis
B03.440.400.425.215.500.500	D017347	Brucella melitensis
B03.440.400.425.215.500.625	D042061	Brucella ovis
B03.440.400.425.215.500.750	D041021	Brucella suis
B03.440.400.425.251	D042521	Burkholderiaceae
B03.440.400.425.251.200	D049921	Cupriavidus
B03.440.400.425.251.200.200	D020118	Cupriavidus necator
B03.440.400.425.288	D042063	Caulobacteraceae
B03.440.400.425.293	D042621	Comamonadaceae
B03.440.400.425.293.150	D020585	Comamonas
B03.440.400.425.293.150.750	D020604	Comamonas testosteroni
B03.440.400.425.293.170	D042742	Delftia
B03.440.400.425.293.170.030	D020605	Delftia acidovorans
B03.440.400.425.293.750	D042744	Sphaerotilus
B03.440.400.425.297	D044125	Coxiellaceae
B03.440.400.425.297.150	D003381	Coxiella
B03.440.400.425.297.150.100	D016997	Coxiella burnetii
B03.440.400.425.340	D005603	Francisella
B03.440.400.425.340.590	D005604	Francisella tularensis
B03.440.400.425.365	D041821	Gluconacetobacter
B03.440.400.425.365.500	D041822	Gluconacetobacter xylinus
B03.440.400.425.377	D044129	Halomonadaceae
B03.440.400.425.377.249	D055353	Chromohalobacter
B03.440.400.425.377.500	D020632	Halomonas
B03.440.400.425.395	D044222	Halothiobacillus
B03.440.400.425.450	D016951	Legionellaceae
B03.440.400.425.450.450	D007875	Legionella
B03.440.400.425.450.450.400	D044128	Legionella longbeachae
